FKZ;Ressort;Referat;PT;Arb.-Einh.;Zuwendungsempfaenger;Gemeindekennziffer;Stadt/Gemeinde;Ort;Land;Staat;AusfuehrendeStelle;Gemeindekennziffer_1;Stadt/Gemeinde_2;Ort_3;Land_4;Staat_5;Thema;Leistungsplansystematik;KlartextLeistungsplansystematik;LaufzeitVon;LaufzeitBis;FoerdersummeInEUR;Foerderprofil;Verbundprojekt
0329132G/2;BMWi;IIC6;PT-J;ESN1;Logotec Software GmbH;5382004;Alfter;Alfter;Nordrhein-Westfalen;;Logotec Software GmbH;5382004;Alfter;Alfter;Nordrhein-Westfalen;;Verbundprojekt RETEX II/Intesol - Solar Bau TK2;EA4300;Regenerative und energieeffiziente Waerme- und Kaeltenutzung;1011998;31031999;68464;Technologie- und Innovationsfoerderung;Retex II/INTESOL: Integrierte Planungshilfsmittel fuer Solaroptimierte Gebaeude
0329797A/3;BMWi;IIC6;PT-J;ESN1;Universitaet Stuttgart;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Universitaet Stuttgart - Fakultaet 4 Energie-, Verfahrens- und Biotechnik - Institut fuer Gebaeudeenergetik (IGE);8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Energietechnische Optimierung zukuenftiger Gebaeude: Erarbeitung wissenschaftlicher Grundlagen fuer ein Richtlinienpaket zur energetischen Bewertung von Anlagen der Technischen Gebaeudeausruestung - VDI 2067;EA4400;Energieoptimierte Gebaeude;1101997;30091999;192243;Technologie- und Innovationsfoerderung;
13N7276 /4;BMBF;514;PT-VDI;TZ-PT;Deutsches Textilforschungszentrum Nord-West e.V.;5114000;Krefeld, Stadt;Krefeld;Nordrhein-Westfalen;;Deutsches Textilforschungszentrum Nord-West e.V.;5114000;Krefeld, Stadt;Krefeld;Nordrhein-Westfalen;;Verbundprojekt: Grundlagenuntersuchungen zur Plasmabehandlung von technischen Textilien - Teilvorhaben: Grundlegende Untersuchung der Eigenschaften plasmabehandelter technischer Textilien;L03000;Plasmatechnik (ohne Fusion);1101997;31122000;262293;Technologie- und Innovationsfoerderung;Grundlagenuntersuchungen zur Plasmabehandlung von Technischen Textilien
0339590 /8;BMBF;727;PT-J;UMW;Technische Universitaet Darmstadt;6411000;Darmstadt, Wissenschaftsstadt;Darmstadt;Hessen;;Technische Universitaet Darmstadt - Fachbereich Bau- und Umweltingenieurwissenschaften - Institut fuer Wasserbau und Wasserwirtschaft;6411000;Darmstadt, Wissenschaftsstadt;Darmstadt;Hessen;;Auswirkung von Buhnen auf semiterrestrische Flaechen ;FC2011;oekologische Konzeptionen fuer Fluss- und Seenlandschaften;1111997;30092001;791138;Forschung und Entwicklung zur Daseinsvorsorge;
0311707 /3;BMBF;613;PT-J;BIO6;Westfaelische Wilhelms-Universitaet Muenster;5515000;Muenster, Stadt;Muenster;Nordrhein-Westfalen;;Westfaelische Wilhelms-Universitaet Muenster - Mathematisch-Naturwissenschaftliche Fakultaet - Fachbereich Biologie - Institut fuer Biochemie und Biotechnologie der Pflanzen (IBBP);5515000;Muenster, Stadt;Muenster;Nordrhein-Westfalen;;Retrovirale Vektoren fuer die Zelltyp-spezifische und regulierbare Expression therapeutisch wirksamer Genprodukte;B00201;Biologische Sicherheitsforschung;1051998;31122001;363406;Technologie- und Innovationsfoerderung;
13N7283 /0;BMBF;514;PT-VDI;TZ-PT;Max-Planck-Gesellschaft zur Foerderung der Wissenschaften e.V. (MPG);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Max-Planck-Institut fuer Kolloid- und Grenzflaechenforschung;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Messung der Oberflaechenelastizitaet mit der Methode der oszillierenden Blase - Teilvorhaben: Untersuchung der Dynamik fluider Adsorptionsschichten;L06070;Sonstige neue Aktivitaeten im Rahmen der physikalischen Technologien;1111997;30042000;448198;Technologie- und Innovationsfoerderung;Messung der Oberflaechenelastizitaet mit der Methode der oszillierenden Blase
19K9740 /9;BMWi;IVA3;PT-MVT;MVBW;PTV Planung Transport Verkehr AG;8212000;Karlsruhe, Stadt;Karlsruhe;Baden-Wuerttemberg;;PTV Planung Transport Verkehr AG;8212000;Karlsruhe, Stadt;Karlsruhe;Baden-Wuerttemberg;;Ideenwettbewerb: Mobilitaet in Ballungsraeumen - Konkretisierung der Produktidee: Mobi-As;HA1000;Mobilitaet in Ballungsraeumen (Leitprojekte);1081997;31011998;51066;Technologie- und Innovationsfoerderung;
13N7282 /9;BMBF;514;PT-VDI;TZ-PT;MediUm-SENSOR Ingenieur- und Handelsgesellschaft fuer Medizingeraete, Umweltmesstechnik und Sensorik mbH;11000000;Berlin, Stadt;Berlin;Berlin;;MediUm-SENSOR Ingenieur- und Handelsgesellschaft fuer Medizingeraete, Umweltmesstechnik und Sensorik mbH;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Messung der Oberflaechenelastizitaet mit der Methode der oszillierenden Blase - Teilvorhaben: Grundlegende Untersuchungen zum Aufbau eines automatisierbaren Messplatzes;L04030;Neue Anwendungen der Supraleitung;1111997;31101999;342310;Technologie- und Innovationsfoerderung;Messung der Oberflaechenelastizitaet mit der Methode der oszillierenden Blase
0311710 /5;BMBF;613;PT-J;BIO6;Humboldt-Universitaet zu Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;Humboldt-Universitaet zu Berlin - Robert-Roessle-Klinik - Abt. Haematologie, Onkologie und Tumorimmunologie;11000000;Berlin, Stadt;Berlin;Berlin;;Identifizierung der molekularen Mechanismen der fruehen Eliminierung von adenoviralen Gentransfervektoren;B00201;Biologische Sicherheitsforschung;1041998;31032000;104799;Technologie- und Innovationsfoerderung;
0329807A/7;BMWi;IIC6;PT-J;ESE1;Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer-Institut fuer Solare Energiesysteme (ISE);8311000;Freiburg im Breisgau, Stadt;Freiburg im Breisgau;Baden-Wuerttemberg;;Photovoltaik fuer Geraete und Kleinsysteme;EB1070;Photovoltaik - Geraete und Kleinsysteme;1101997;31122001;2661146;Technologie- und Innovationsfoerderung;
0311708 /4;BMBF;613;PT-J;BIO6;Universitaet zu Koeln;5315000;Koeln, Stadt;Koeln;Nordrhein-Westfalen;;Universitaet zu Koeln - Zentrum fuer Molekularbiologische Medizin (ZMMK);5315000;Koeln, Stadt;Koeln;Nordrhein-Westfalen;;Weiterentwicklung adenoviraler Gentransfer-Vektoren und sicherheitsrelevante Untersuchungen zur Frage der Integration von Vektor-DNA in das Genom von Zellen nach Gentransfer;B00201;Biologische Sicherheitsforschung;1031998;28022001;226842;Technologie- und Innovationsfoerderung;
0311714 /9;BMBF;613;PT-J;BIO6;Deutsches Krebsforschungszentrum (DKFZ);8221000;Heidelberg, Stadt;Heidelberg;Baden-Wuerttemberg;;Deutsches Krebsforschungszentrum (DKFZ) - Abt. Retrovirale Genexpression;8221000;Heidelberg, Stadt;Heidelberg;Baden-Wuerttemberg;;Entwicklung von Testsystemen zur biologischen Sicherheitsueberpruefung foamy-viraler Vektoren;B00201;Biologische Sicherheitsforschung;1051998;30042001;93352;Technologie- und Innovationsfoerderung;
0311709 /5;BMBF;613;PT-J;BIO6;Heinrich-Pette-Institut, Leibniz-Institut fuer Experimentelle Virologie;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Heinrich-Pette-Institut, Leibniz-Institut fuer Experimentelle Virologie;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Analyse von Repressionsmechanismen zur Optimierung der Sicherheit retroviraler Vektoren;B00201;Biologische Sicherheitsforschung;1051998;30042001;213614;Technologie- und Innovationsfoerderung;
05350XB1/0;BMBF;711;PT-DESY;PT-DESY;Berliner Elektronenspeicherring-Gesellschaft fuer Synchrotronstrahlung m.b.H. ( BESSY );11000000;Berlin, Stadt;Berlin;Berlin;;Berliner Elektronenspeicherring-Gesellschaft fuer Synchrotronstrahlung m.b.H. ( BESSY );11000000;Berlin, Stadt;Berlin;Berlin;;Aufbau von zwei Strahlrohren fuer die Tiefenlithographie bei BESSY II;U05071;Technologische Entwicklung- Lichtquellen;1101997;31121998;511292;Erkenntnisorientierte und programmuebergreifende Grundlagenforschung;
03N2015A/6;BMBF;523;PT-J;NMT;GFE Gesellschaft fuer Elektrometallurgie mbH;9564000;Nuernberg;Nuernberg;Bayern;;GFE Gesellschaft fuer Elektrometallurgie mbH - Geschaeftsbereich Metalle und Materialien;9564000;Nuernberg;Nuernberg;Bayern;;Verbundprojekt: MoSi2-Komposite fuer Hochtemperaturanwendungen in korrosiven und oxidativen Atmosphaeren (MSKOMP) - Teilvorhaben: Entwicklung und Herstellung von MoSi2-Kompositenbauteilen im Pilotmassstab;KB9902;Altvorhaben Werkstoffe fuer Zukunftstechnologien;1011998;30092001;622979;Technologie- und Innovationsfoerderung;MSKOMP
03N2015C/1;BMBF;523;PT-J;NMT;Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer-Institut fuer Fertigungstechnik und Angewandte Materialforschung (IFAM) - Bereich Endformnahe Fertigungstechnologien - Aussenstelle fuer Pulvermetallurgie und Verbundwerkstoffe (EPW);14612000;Dresden, Stadt;Dresden;Sachsen;;Verbundprojekt: MoSi2-Composite fuer Hochtemperaturanwendungen in korrosiven und oxidativen Atmosphaeren (MSKOMP) - Teilvorhaben: Beitrag zur Entwicklung von MoSi2-Compositwerkstoffen und daraus gefertigten Bauteilen;KB9902;Altvorhaben Werkstoffe fuer Zukunftstechnologien;1011998;31122000;153388;Technologie- und Innovationsfoerderung;MSKOMP
01VM9706/9;BMBF;614;PT-DLR;GF;Freie Universitaet Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;Charité - Universitaetsmedizin Berlin - Campus Benjamin Franklin - Rheumatologie;11000000;Berlin, Stadt;Berlin;Berlin;;Forschungsverbund: Zytokine in der Pathogenese von Arthritiden und als moegliche Angriffspunkte von Immuntherapien - TH1/TH2-Zytokine in der Pathogenese von Arthritiden ;AA0160;Sonstige krankheitsbezogene und -uebergreifende Massnahmen;1081997;31072000;168003;Technologie- und Innovationsfoerderung;
EUR1997 /1;BMBF;417;BF;;Europarat (CDCC);99999999;Ausland;Strassburg-Cedex/Frankreich;;Frankreich;Europarat (CDCC);99999999;Ausland;Strassburg-Cedex/Frankreich;;Frankreich;Seminar ueber die Foerderung und Heranbildung des wissenschaftlichen Nachwuchses in Deutschland - Das deutsche Graduierungskolleg im internationalen Vergleich, Bonn, 17.-19. November 1997;RE8050;Wissenschaftliche Zusammenarbeit mit anderen Staaten (soweit nicht in anderen Bereichen);16111997;19111997;11248;Technologie- und Innovationsfoerderung;
03G0130C/0;BMBF;725;PT-J;MGS1;GEOMAR - Helmholtz-Zentrum fuer Ozeanforschung Kiel;1002000;Kiel, Landeshauptstadt;Kiel;Schleswig-Holstein;;GEOMAR - Helmholtz-Zentrum fuer Ozeanforschung Kiel;1002000;Kiel, Landeshauptstadt;Kiel;Schleswig-Holstein;;SO 130-MAKRAN II: Fluidfreisetzung und biogeochemischer Stoffumsatz am Makran Akkretionskeil/Pakistan;FB8710;Geo-Prozesse der kontinentalen und ozeanischen Lithosphaere;1011998;31121998;117392;Forschung und Entwicklung zur Daseinsvorsorge;
0311722 /5;BMBF;615;PT-J;BIO3;Technische Universitaet Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;Technische Universitaet Berlin - Max-Volmer-Institut fuer Biophysikalische und Physikalische Chemie;11000000;Berlin, Stadt;Berlin;Berlin;;Sekundaermetabolite aus thermophilen Mikroorganismen;RE8050;Wissenschaftliche Zusammenarbeit mit anderen Staaten (soweit nicht in anderen Bereichen);1101997;31121999;30678;Technologie- und Innovationsfoerderung;
0311721 /4;BMBF;615;PT-J;BIO3;Universitaet Stuttgart;8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Universitaet Stuttgart - Fakultaet fuer Chemie - Institut fuer Biochemie und Technische Biochemie (IBTB);8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Entwicklung von Biosensoren fuer Umweltschadstoffe;RE8050;Wissenschaftliche Zusammenarbeit mit anderen Staaten (soweit nicht in anderen Bereichen);1101997;31121999;25360;Technologie- und Innovationsfoerderung;
0339714 /0;BMBF;727;PT-J;UMW;Universitaet Bielefeld;5711000;Bielefeld, Stadt;Bielefeld;Nordrhein-Westfalen;;Universitaet Bielefeld - Fakultaet fuer Biologie - Abt. oekologie;5711000;Bielefeld, Stadt;Bielefeld;Nordrhein-Westfalen;;Sukzessionsprozesse auf dem trockengefallenen Aralseeboden und Perspektiven der Landnutzung;FC1023;Sonstiges zur oekologischen Forschung fuer Agrarlandschaften;1011998;31102001;351372;Forschung und Entwicklung zur Daseinsvorsorge;
01KO9703/3;BMBF;614;PT-DLR;GF;Max-Planck-Gesellschaft zur Foerderung der Wissenschaften e.V. (MPG);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Max-Planck-Institut fuer Neurobiologie;9184138;Planegg;Planegg;Bayern;;Forschungsverbund Neurotrauma Muenchen: Experimentelle Untersuchung der molekularen Signale zwischen Nerven- und Gliazellen, der aenderungen nach Trauma und Moeglichkeiten einer medikamentoesen Beeinflussung.;AA0120;Nervensystem und Psyche;1021998;31012001;389604;Technologie- und Innovationsfoerderung;Forschungsverbund 'Neurotrauma Muenchen'
02WA9892/4;BMBF;727;PTKA;WTE-W_KA;Abwasserverband Obere Iller (AOI);9780139;Sonthofen, St;Sonthofen;Bayern;;Abwasserverband Obere Iller (AOI);9780139;Sonthofen, St;Sonthofen;Bayern;;Entwicklung einer dynamischen Echtzeit-Steuerstrategie zur Bewirtschaftung von biologisch-flexiblen Reaktorvolumen in laengsdurchstroemten Rechteck- und Rundbecken;FC3030;Kommunales Abwasser;1011999;30042006;2387541;Forschung und Entwicklung zur Daseinsvorsorge;
02WT9750/3;BMBF;727;PTKA;WTE-W_KA;Hallesche Wasser und Stadtwirtschaft GmbH;15002000;Halle (Saale), Stadt;Halle (Saale);Sachsen-Anhalt;;Hallesche Wasser und Stadtwirtschaft GmbH;15002000;Halle (Saale), Stadt;Halle (Saale);Sachsen-Anhalt;;Entwicklung und Verifizierung eines Verfahrens zur Wasserverlustsondierung mittels rechnergestuetzter Auswertung terrestrischer und aeroterrestrischer Daten unter Einsatz flugzeuggestuetzter Infrarottechnik am Beispiel der TWV in Halle - Erfassung technischer Daten;FC3010;Wasserversorgung;1081997;31082001;293156;Forschung und Entwicklung zur Daseinsvorsorge;
50QP9720/1;BMWi;IVD5;DLR-RFM;RD-RX;Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer-Institut fuer Zerstoerungsfreie Pruefverfahren (IZFP);10041100;Saarbruecken, Landeshauptstadt;Saarbruecken;Saarland;;Entwicklung, Fertigung und Einsatz der piezoelektrischen Wandler fuer das akustische Experiment CASSE 'Comet Acoustic Surface Experiment' im Rahmen von SESAME;IB1020;Erforschung des Sonnensystems;1011998;31122001;364217;Technologie- und Innovationsfoerderung;
02WT9751/6;BMBF;727;PTKA;WTE-W_KA;SCANDAT Gesellschaft fuer innovative Fernerkundungstechnologien mbH;11000000;Berlin, Stadt;Berlin;Berlin;;SCANDAT Gesellschaft fuer innovative Fernerkundungstechnologien mbH;11000000;Berlin, Stadt;Berlin;Berlin;;Entwicklung und Verifizierung eines Verfahrens zur Wasserverlustsondierung mittels rechnergestuetzter Auswertung terrestrischer und aeroterrestrischer Daten unter Einsatz flugzeuggestuetzter Infrarottechnik am Beispiel der TWV in Halle - Erfassung technischer Daten;FC3010;Wasserversorgung;1091997;31082001;500285;Forschung und Entwicklung zur Daseinsvorsorge;
02WA9748/8;BMBF;727;PTKA;WTE-W_KA;E.V.U.-Entwicklung von Umwelttechnik GmbH;14612000;Dresden, Stadt;Dresden;Sachsen;;E.V.U.-Entwicklung von Umwelttechnik GmbH;14612000;Dresden, Stadt;Dresden;Sachsen;;Weitergehende Abwasserreinigung in biologischen Kleinklaeranalgen mit einem Anschluss < 50 EW;FC2025;Dezentrale Wasserver- und Abwasserentsorgung;1101997;30091999;120338;Forschung und Entwicklung zur Daseinsvorsorge;
02WA9820/2;BMBF;727;PTKA;WTE-W_KA;PREUSSAG Wassertechnik GmbH;4011000;Bremen, Stadt;Bremen;Bremen;;PREUSSAG Wassertechnik GmbH - Niederlassung Zwingenberg;6431022;Zwingenberg, Stadt;Zwingenberg;Hessen;;Entwicklung eines halbtechnischen Verfahrens zur kombinierten photo- und sonochemischen Dekontamination schadstoffbelasteter Waesser;FC3040;Industrielles Abwasser;1051998;30062001;254544;Forschung und Entwicklung zur Daseinsvorsorge;
02PV2117/3;BMBF;521;PTKA;PFT (KA);BFL Leasing GmbH;6436003;Eschborn, Stadt;Eschborn;Hessen;;BFL Leasing GmbH;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Nutzenoptimierte Systemloesungen zur Foerderung der Kreislaufwirtschaft am Beispiel des Systems Buero (SYSKREIS) - Teilprojekt: Entwicklung spezieller Standards und Vertragsmodelle;M09020;Wirtschaften in Kreislaeufen;1021998;30042000;89974;Technologie- und Innovationsfoerderung;Nutzenoptimierte Systemloesungen zur Foerderung der Kreislaufwirtschaft am Beispiel des Systems Buero (SYSKREIS)
02PE6005/4;BMBF;521;PTKA;PFT (KA);GPP Chemnitz Gesellschaft fuer Prozessrechnerprogrammierung mbH;14511000;Chemnitz, Stadt;Chemnitz;Sachsen;;GPP Chemnitz Gesellschaft fuer Prozessrechnerprogrammierung mbH;14511000;Chemnitz, Stadt;Chemnitz;Sachsen;;EUREKA-Verbundprojekt: Prozess- und Produktinnovation im Werkzeugbau durch neue Ablauforganisationen und Kommunikationsstrukturen (EUREKA-TOOL) - Teilvorhaben: IuK-System;M09010;Produktentwicklungsmethoden und Produktionsverfahren;1081997;31121998;110978;Technologie- und Innovationsfoerderung;Prozess- und Produktinnovation im Werkzeugbau (EUREKA-TOOL)
02PV2134/7;BMBF;521;PTKA;PFT (KA);Rhein-Main-Verkehrsverbund GmbH (RMV);6436007;Hofheim am Taunus, Kreisstadt;Hofheim am Taunus;Hessen;;Rhein-Main-Verkehrsverbund GmbH (RMV) - Stabstelle Partnerbetreuung;6436007;Hofheim am Taunus, Kreisstadt;Hofheim am Taunus;Hessen;;Verbundprojekt: Nachhaltiges Wirtschaften am Beispiel von Schienenfahrzeugen (Bahnkreis) - Teilvorhaben: Anforderungsprofile aus Nutzersicht;M09020;Wirtschaften in Kreislaeufen;1021998;31102000;33400;Technologie- und Innovationsfoerderung;Nachhaltiges Wirtschaften am Beispiel von Schienenfahrzeugen (Bahnkreis)
50TT9739/1;BMWi;IVD5;DLR-RFM;RD-RR;ICB Institut fuer Chemo- und Biosensorik GmbH;5515000;Muenster, Stadt;Muenster;Nordrhein-Westfalen;;ICB Institut fuer Chemo- und Biosensorik GmbH;5515000;Muenster, Stadt;Muenster;Nordrhein-Westfalen;;Fluoreszens-Evaneszentfeld-Immunsensor zur Messung von Muskelschaeden bei Extrembelastungen;IB8030;KMU-Programm und Kommerzialisierung im Rahmen der Weltraumforschung und Weltraumtechnik;1101997;31031998;49627;Technologie- und Innovationsfoerderung;
02PV2135/0;BMBF;521;PTKA;PFT (KA);Siemens Aktiengesellschaft;9562000;Erlangen;Erlangen;Bayern;;Siemens Aktiengesellschaft - Bereich Verkehrstechnik (VT 875);9562000;Erlangen;Erlangen;Bayern;;Verbundprojekt: Nachhaltiges Wirtschaften am Beispiel von Schienenfahrzeugen (Bahnkreis) - Teilvorhaben: Erweiterte LCC/Materialeinsatz und Recycling;M09020;Wirtschaften in Kreislaeufen;1021998;31102000;275663;Technologie- und Innovationsfoerderung;Nachhaltiges Wirtschaften am Beispiel von Schienenfahrzeugen (Bahnkreis)
02PV2136/2;BMBF;521;PTKA;PFT (KA);Institut fuer Schienenfahrzeuge Gesellschaft mit beschraenkter Haftung Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;Institut fuer Schienenfahrzeuge Gesellschaft mit beschraenkter Haftung Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Nachhaltiges Wirtschaften am Beispiel von Schienenfahrzeugen (Bahnkreis) - Teilvorhaben: Produktgestaltung - Nachnutzungsphase;M09020;Wirtschaften in Kreislaeufen;1021998;30061999;121972;Technologie- und Innovationsfoerderung;Nachhaltiges Wirtschaften am Beispiel von Schienenfahrzeugen (Bahnkreis)
02PV2137/5;BMBF;521;PTKA;PFT (KA);DB Regio Aktiengesellschaft;6412000;Frankfurt am Main, Stadt;Frankfurt am Main;Hessen;;DB Regio Aktiengesellschaft - Bereich Technik/Werke - RTW 3;6412000;Frankfurt am Main, Stadt;Frankfurt am Main;Hessen;;Verbundprojekt: Nachhaltiges Wirtschaften am Beispiel von Schienenfahrzeugen (Bahnkreis) - Teilvorhaben: Fahrzeuganforderungen und Instandhaltungstrategie;M09020;Wirtschaften in Kreislaeufen;1021998;31102000;205344;Technologie- und Innovationsfoerderung;Nachhaltiges Wirtschaften am Beispiel von Schienenfahrzeugen (Bahnkreis)
02PV2802/6;BMBF;521;PTKA;PFT (KA);DMT GmbH Design Manufacturing Technology;8115024;Holzgerlingen, Stadt;Holzgerlingen;Baden-Wuerttemberg;;DMT GmbH Design Manufacturing Technology;8115024;Holzgerlingen, Stadt;Holzgerlingen;Baden-Wuerttemberg;;Verbundprojekt: MEDIKREIS - Kreislaufmanagement fuer portable Medizingeraete - Schwerpunkt: Kreislaufgeeignete, intelligente Gehaeusekonzepte;M09020;Wirtschaften in Kreislaeufen;1081998;31122000;89957;Technologie- und Innovationsfoerderung;Kreislaufmanagement fuer portable Medizingeraete (MEDIKREIS)
50YB9708/3;BMWi;IVD5;DLR-RFM;RD-RK;Thales Deutschland GmbH;8421000;Ulm, Universitaetsstadt;Ulm;Baden-Wuerttemberg;;Thales Deutschland GmbH;8421000;Ulm, Universitaetsstadt;Ulm;Baden-Wuerttemberg;;Optimierung der Strahlungskuehlung bei Satelliten-Wanderfeldroehren;IB6010;Nutzlastentwicklungen und -technologien einschliesslich Antennen im Rahmen der Satellitenkommunikation;1121997;30092000;553294;Technologie- und Innovationsfoerderung;
02PV2801/3;BMBF;521;PTKA;PFT (KA);Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer-Institut fuer Produktionstechnik und Automatisierung (IPA);8111000;Stuttgart, Landeshauptstadt;Stuttgart;Baden-Wuerttemberg;;Verbundprojekt: MEDIKREIS - Kreislaufmanagement fuer portable Medizingeraete - Teilvorhaben: Wissenschaftliche Unterstuetzung und Projektmanagement;M09020;Wirtschaften in Kreislaeufen;1081998;31122000;284554;Technologie- und Innovationsfoerderung;Kreislaufmanagement fuer portable Medizingeraete (MEDIKREIS)
50TT9713/3;BMWi;IVD5;DLR-RFM;RD-RX;Ruprecht-Karls-Universitaet Heidelberg - Zentrum fuer Astronomie (ZAH) - Astronomisches Rechen-Institut Heidelberg (ARI);8221000;Heidelberg, Stadt;Heidelberg;Baden-Wuerttemberg;;Ruprecht-Karls-Universitaet Heidelberg - Zentrum fuer Astronomie (ZAH) - Astronomisches Rechen-Institut Heidelberg (ARI);8221000;Heidelberg, Stadt;Heidelberg;Baden-Wuerttemberg;;DIVA Querschnittstechnologiestudien;IB8010;Technik fuer Raumfahrtsysteme;1101997;31121998;100868;Technologie- und Innovationsfoerderung;
03N1034A/5;BMBF;523;PT-J;NMT;IBM Deutschland Speichersysteme Gesellschaft mit beschraenkter Haftung;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;IBM Deutschland Speichersysteme Gesellschaft mit beschraenkter Haftung;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;Verbundprojekt: Kubisches Bornitrid (c-BN) und Kohlenstoffnitrid (CNx) - Herstellung und Pruefung von c-BN und CNx-Schichten fuer die Speichertechnologie;KB9902;Altvorhaben Werkstoffe fuer Zukunftstechnologien;1011998;31122000;329048;Technologie- und Innovationsfoerderung;Kubisches Bornitrid und Kohlenstoffnitrid
03N3049A/0;BMBF;523;PT-J;NMT;MTU Aero Engines AG;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;MTU Aero Engines AG;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Verbundprojekt: Titan-MMC - Entwicklung des Herstellungsverfahrens fuer einfache Triebwerkskomponenten aus SIC langfaserverstaerkten TI Basislegierungen;KB9902;Altvorhaben Werkstoffe fuer Zukunftstechnologien;1011998;31122000;234754;Technologie- und Innovationsfoerderung;Titan-MMC
03N3049B/3;BMBF;523;PT-J;NMT;Daimler AG;9162000;Muenchen, Landeshauptstadt;Ottobrunn;Bayern;;Daimler AG - Forschung und Technik - Metalle und Kunststoffe/Oberflaechenschutz;9184136;Ottobrunn;Ottobrunn;Bayern;;Verbundprojekt: Titan-MMC - Kontinuierliches Verfahren zur Herstellung von SIC-faserverstaerkten Ti-Basislegierungen fuer den Triebwerksbau - Teilprojekt: Kontinuierliches Beschichtungsverfahren;KB9902;Altvorhaben Werkstoffe fuer Zukunftstechnologien;1011998;31122000;173751;Technologie- und Innovationsfoerderung;Titan-MMC
03N9009 /6;BMBF;523;PT-J;NMT;Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer-Institut fuer Angewandte Polymerforschung (IAP);12054000;Potsdam, Stadt;Potsdam;Brandenburg;;Elektrodenanordnung fuer die plasmagestuetzte Modifizierung von Polymeren bei Normaldruck (TRANSFORM);RE8050;Wissenschaftliche Zusammenarbeit mit anderen Staaten (soweit nicht in anderen Bereichen);1101997;30091999;12424;Technologie- und Innovationsfoerderung;
01GG9701/2;BMBF;614;PT-DLR;GF;Deutsches Zentrum fuer Luft- und Raumfahrt e.V.;5314000;Bonn, Stadt;Bonn;Nordrhein-Westfalen;;Deutsches Zentrum fuer Luft- und Raumfahrt e.V. - Projekttraeger des BMBF - Gesundheitsforschung;5314000;Bonn, Stadt;Bonn;Nordrhein-Westfalen;;Ausarbeitung der ausgewaehlten Leitprojektideen;AA0250;Translationsforschung;1091997;31121998;630099;Technologie- und Innovationsfoerderung;
02PE5005/7;BMBF;521;PTKA;PFT (KA);AEG Kondensatoren und Wandler GmbH;11000000;Berlin, Stadt;Berlin;Berlin;;AEG Kondensatoren und Wandler GmbH;11000000;Berlin, Stadt;Berlin;Berlin;;EUREKA-Verbundprojekt: Leitlinien zur kontinuierlichen Unternehmensentwicklung im turbulenten Umfeld (GUIDELINE) - Schwerpunkt: Marktanalysemethoden;M09050;Produzieren im turbulenten Umfeld;1101997;31032000;123008;Technologie- und Innovationsfoerderung;Leitlinien zur kontinuierlichen Unternehmensentwicklung (GUIDELINE)
02PV1414/2;BMBF;521;PTKA;PFT (KA);Duerkopp Adler Aktiengesellschaft;5711000;Bielefeld, Stadt;Bielefeld;Nordrhein-Westfalen;;Duerkopp Adler Aktiengesellschaft;5711000;Bielefeld, Stadt;Bielefeld;Nordrhein-Westfalen;;Verbundprojekt: Integriertes 3-D-Naehsystem - Teilvorhaben: Integration der 2-D-Naehprozesse;M09010;Produktentwicklungsmethoden und Produktionsverfahren;1111997;31121999;143162;Technologie- und Innovationsfoerderung;Integriertes 3-D-Naehsystem
