FKZ;Ressort;Referat;PT;Arb.-Einh.;Zuwendungsempfaenger;Gemeindekennziffer;Stadt/Gemeinde;Ort;Land;Staat;AusfuehrendeStelle;Gemeindekennziffer_1;Stadt/Gemeinde_2;Ort_3;Land_4;Staat_5;Thema;Leistungsplansystematik;KlartextLeistungsplansystematik;LaufzeitVon;LaufzeitBis;FoerdersummeInEUR;Foerderprofil;Verbundprojekt
03N9010 /6;BMBF;523;PT-J;NMT;GFE - Gesellschaft fuer Fertigungstechnik und Entwicklung Schmalkalden e. V.;16066063;Schmalkalden, Kurort, Stadt;Schmalkalden;Thueringen;;Nationale Akademie der Wissenschaften Kiew/Ukraine - Institut fuer Elektroschweissen 'E.O. Paton';99999999;Ausland;Kiew/Ukraine;;Ukraine;Entwicklung eines hochverschleiss- und korrosionsbestaendigen Beschichtungswerkstoffes fuer das Plasma-Pulver-Auftragschweissen ;RE8050;Wissenschaftliche Zusammenarbeit mit anderen Staaten (soweit nicht in anderen Bereichen);1011998;30061999;19611;Technologie- und Innovationsfoerderung;
50YB9805/3;BMWi;IVD5;DLR-RFM;RD-RK;Airbus DS GmbH;9184145;Taufkirchen;Taufkirchen;Bayern;;Airbus DS GmbH;9184145;Taufkirchen;Taufkirchen;Bayern;;Konzeptstudie 'Aktive Antennen';IB6080;Studien im Rahmen der Satellitenkommunikation;1021998;31121998;127585;Technologie- und Innovationsfoerderung;
50YB9806/6;BMWi;IVD5;DLR-RFM;RD-RK;Bosch Telecom GmbH;8119008;Backnang, Stadt;Backnang;Baden-Wuerttemberg;;Bosch Telecom GmbH;8119008;Backnang, Stadt;Backnang;Baden-Wuerttemberg;;Konzeptstudie 'Aktive Antennen';IB6010;Nutzlastentwicklungen und -technologien einschliesslich Antennen im Rahmen der Satellitenkommunikation;1021998;31121998;126625;Technologie- und Innovationsfoerderung;
01IW810 /4;BMBF;511;PT-DLR;SW;Deutsches Forschungszentrum fuer Kuenstliche Intelligenz GmbH;7312000;Kaiserslautern, Stadt;Kaiserslautern;Rheinland-Pfalz;;Deutsches Forschungszentrum fuer Kuenstliche Intelligenz GmbH;7312000;Kaiserslautern, Stadt;Kaiserslautern;Rheinland-Pfalz;;A Cognitive Architecture for Social Agents (COGS);GA4040;Wissensverarbeitung/Expertensysteme;1011998;31032001;1109058;Technologie- und Innovationsfoerderung;
W105600 /0;BMBF;323;BIBB;02. Apr;o.tel.o communications GmbH & Co.;6438009;Neu-Isenburg, Stadt;Neu-Isenburg;Hessen;;o.tel.o communications GmbH & Co.;6438009;Neu-Isenburg, Stadt;Neu-Isenburg;Hessen;;IR²-Innovation und Qualitaetssteigerung durch individualisierte Qualifikation;OB1010;Ressortforschung, wissenschaftliche Tagungen, Erfahrungsaustausch im Bereich der beruflichen Bildung, Sonstiges;1101997;28021998;51129;Forschung und Entwicklung zur Daseinsvorsorge;
W105500 /2;BMBF;323;BIBB;02. Apr;Soziologisches Forschungsinstitut Goettingen (SOFI) e.V.;3159016;Goettingen, Stadt;Goettingen;Niedersachsen;;Soziologisches Forschungsinstitut Goettingen (SOFI) e.V.;3159016;Goettingen, Stadt;Goettingen;Niedersachsen;;Wissensmanagement, Organisation und Qualifizierung in industriellen KMU-Netzwerken;OB1010;Ressortforschung, wissenschaftliche Tagungen, Erfahrungsaustausch im Bereich der beruflichen Bildung, Sonstiges;1101997;28021998;51129;Forschung und Entwicklung zur Daseinsvorsorge;
W105800 /4;BMBF;323;BIBB;02. Apr;Universitaet Regensburg;9362000;Regensburg;Regensburg;Bayern;;Universitaet Regensburg - Universitaetsklinikum - Institut fuer Roentgendiagnostik;9362000;Regensburg;Regensburg;Bayern;;Interface for Medical Documents, Scientific Abstracts an Text Book (MediDAT);OB7000;Reform- und Umsetzungsstrategien des Lebenslangen Lernens in nationalen und internationalen Bezuegen;1101997;28021998;49644;Forschung und Entwicklung zur Daseinsvorsorge;
W105900 /1;BMBF;323;BIBB;02. Apr;Universitaet Hildesheim;3254021;Hildesheim, Stadt;Hildesheim;Niedersachsen;;Universitaet Hildesheim - Fachbereich III - Informations- und Kommunikationswissenschaften - Institut fuer Angewandte Sprachwissenschaft;3254021;Hildesheim, Stadt;Hildesheim;Niedersachsen;;Konkretisierung des Projektvorschlages 'Mehrsprachiges modulares Selbstlernsystem zum Erwerb interkultureller Kompetenz' (Uni Hildesheim) in Leitprojekt 'Nutzung des weltweit verfuegbaren Wissens fuer Aus- und Weiterbildung'.;OB7000;Reform- und Umsetzungsstrategien des Lebenslangen Lernens in nationalen und internationalen Bezuegen;1101997;28021998;51129;Forschung und Entwicklung zur Daseinsvorsorge;
W106000 /2;BMBF;323;BIBB;02. Apr;Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer-Institut fuer Integrierte Schaltungen (IIS) - Bereich Angewandte Elektronik (IIS-A);9562000;Erlangen;Erlangen;Bayern;;Weiterbildung - Lebenslanges Lernen (WB-LLL);OB7000;Reform- und Umsetzungsstrategien des Lebenslangen Lernens in nationalen und internationalen Bezuegen;1101997;28021998;51129;Forschung und Entwicklung zur Daseinsvorsorge;
W106300 /4;BMBF;323;BIBB;02. Apr;B2M Beteiligungs GmbH;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;B2M Beteiligungs GmbH - Buero Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;Erarbeitung einer konkretisierten Projektbeschreibung fuer ein 'Online-Know-how Brokering-System' im Rahmen des BMBF-Iddenwettbewerbs;OB7000;Reform- und Umsetzungsstrategien des Lebenslangen Lernens in nationalen und internationalen Bezuegen;1101997;28021998;50394;Forschung und Entwicklung zur Daseinsvorsorge;
W106200 /7;BMBF;323;BIBB;02. Apr;Digital Equipment GmbH;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Digital Equipment GmbH - CEC Karlsruhe - European Applied Research Center;8212000;Karlsruhe, Stadt;Karlsruhe;Baden-Wuerttemberg;;Konkretisierung der Projekte: Lebenslange Weiterbildung als Grundbeduerfniss im Rahmen der BMBF-Leitprojekte: Schaffung einer technischen und organisatorischen Infrastruktur zur lebenslangen Weiterbildung;OB7000;Reform- und Umsetzungsstrategien des Lebenslangen Lernens in nationalen und internationalen Bezuegen;1101997;28021998;51129;Forschung und Entwicklung zur Daseinsvorsorge;
